dia,temperatura,umidade
336,23.53,84
337,22.42,76.25
338,23,81.5
339,24.65,77.5
340,22.71,77.75
341,21.54,84.5
342,21.49,71.5
343,21.73,71.25
344,23.81,69.5
345,24.09,79.5
346,25,75
347,24.42,77.25
348,24.55,77.5
349,25.36,73.5
350,24.88,76
351,25.14,78.25
352,25.71,77.75
353,24,88.5
354,24.32,91
355,25.72,83.25
356,26.47,76.5
357,24.69,88.25
358,23.49,86.75
359,23.31,78
360,23.9,71.75
361,23.81,69.5
362,24.2,78.25
363,24.1,82.75
364,24.49,83.5
365,24.5,80.25
